patent_number,country,title,assignee,grant_year,times_cited,status,url
4683195,US,How to Make Billions of Copies of a DNA Segment,Cetus Corp,1987,6231,public domain,https://patentbrief.org/patent/us/4683195/pcr-polymerase-chain-reaction
8697359,US,How to Edit Genes in Human Cells Using an Engineered CRISPR System,Massachusetts Institute of Technology,2014,1268,active,https://patentbrief.org/patent/us/8697359/crispr-gene-editing
7657849,US,How the iPhone's Slide-to-Unlock Gesture Works,Apple Inc,2010,1269,public domain,https://patentbrief.org/patent/us/7657849/slide-to-unlock
4733665,US,How Doctors Implant a Permanent Stent Using a Balloon,Expandable Grafts Partnership,1988,2425,public domain,https://patentbrief.org/patent/us/4733665/palmaz-balloon-expandable-stent
4965188,US,How to Make Many Copies of a DNA Piece with Heat,Cetus Corp,1990,2132,public domain,https://patentbrief.org/patent/us/4965188/taq-polymerase-for-pcr
4235871,US,How to Encapsulate Active Materials in Lipid Bubbles Efficiently,Individual,1980,1862,public domain,https://patentbrief.org/patent/us/4235871/hepatitis-b-vaccine-recombivax
4405829,US,How RSA Public-Key Encryption Keeps Digital Messages Secret,Massachusetts Institute of Technology,1983,1015,public domain,https://patentbrief.org/patent/us/4405829/rsa-encryption
4575330,US,How 3D Printers Build Objects Layer by Layer from Liquid,UVP Inc,1986,1094,public domain,https://patentbrief.org/patent/us/4575330/stereolithography-3d-printing
4683202,US,How to Make Many Copies of a Specific DNA Segment,Cetus Corp,1987,7558,public domain,https://patentbrief.org/patent/us/4683202/pcr-polymerase-chain-reaction-mullis
4376110,US,How Two Special Antibodies Find Substances in Body Fluids,Hybritech Inc,1983,1572,public domain,https://patentbrief.org/patent/us/4376110/psa-test-for-prostate-cancer
3953566,US,"Making Strong, Porous PTFE: The Gore-Tex Process",WL Gore and Associates Inc,1976,1364,public domain,https://patentbrief.org/patent/us/3953566/gore-tex-expanded-ptfe
5121329,US,How Machines Build 3D Objects Layer by Layer from Melting Plastic,Stratasys Inc,1992,793,public domain,https://patentbrief.org/patent/us/5121329/fdm-3d-printing-stratasys
7479949,US,How Touchscreens Understand Your Finger Swipes and Scrolls,Apple Inc,2009,1120,active,https://patentbrief.org/patent/us/7479949/iphone-multi-touch
5347632,US,Prodigy's System for Interactive Online Information and Shopping,Prodigy Services Co,1994,808,public domain,https://patentbrief.org/patent/us/5347632/java-programming-language
5521184,US,New Pyrimidine Chemical Compounds for Treating Tumors,Ciba Geigy Corp,1996,564,public domain,https://patentbrief.org/patent/us/5521184/gleevec-imatinib
4528643,US,How Stores Make Custom Products On-Demand with Remote Approval,FPDC Inc,1985,498,public domain,https://patentbrief.org/patent/us/4528643/digital-distribution-point-of-sale
10452978,US,How AI Models Understand Language Using 'Attention',Google LLC,2019,45,active,https://patentbrief.org/patent/us/10452978/transformer-attention-mechanism
3906166,US,How Early Cell Phones Handled Calls Across Different Towers,Motorola Inc,1975,206,public domain,https://patentbrief.org/patent/us/3906166/cellular-mobile-phone-radio-telephone
4703008,US,How to Make Human Erythropoietin (EPO) Using Engineered DNA,Kirin Amgen Inc,1987,346,public domain,https://patentbrief.org/patent/us/4703008/neupogen-g-csf-filgrastim
4727064,US,How Special Sugars Make Medicines Dissolve Better,US Department of Health and Human Services,1988,341,public domain,https://patentbrief.org/patent/us/4727064/azt-zidovudine
6285999,US,How Websites Get Ranked by Importance,Leland Stanford Junior University,2001,818,public domain,https://patentbrief.org/patent/us/6285999/google-pagerank
7469381,US,How Touchscreens Show and Snap Back When You Scroll Past an Edge,Apple Inc,2008,402,active,https://patentbrief.org/patent/us/7469381/iphone-rubberbanding
4665913,US,How Lasers Correct Vision by Reshaping the Eye's Front Surface,LRI LP,1987,381,public domain,https://patentbrief.org/patent/us/4665913/laser-eye-surgery-lesperance
5210015,US,How an Enzyme Helps Find Specific DNA in a Sample,Hoffmann La Roche Inc,1993,1183,public domain,https://patentbrief.org/patent/us/5210015/hcv-pcr-detection
5960411,US,How Amazon's One-Click Ordering Works for Online Purchases,Amazon com Inc,1999,1636,public domain,https://patentbrief.org/patent/us/5960411/amazon-one-click
5471515,US,How a Modern Camera Sensor Captures Light and Converts It to Data,California Institute of Technology,1995,620,public domain,https://patentbrief.org/patent/us/5471515/cmos-active-pixel-image-sensor
4816567,US,Making Hybrid Antibodies from Different Animals,Genentech Inc,1989,8214,public domain,https://patentbrief.org/patent/us/4816567/recombinant-antibody-production-in-cho-cells
4063220,US,How Multiple Computers Share a Network Cable Without Crashing,Xerox Corp,1977,301,public domain,https://patentbrief.org/patent/us/4063220/ethernet-packet-network
4522811,US,Boosting Anti-Infective Activity with Muramyldipeptides and Liposomes,Syntex USA LLC,1985,2340,public domain,https://patentbrief.org/patent/us/4522811/human-growth-hormone-protropin
3778614,US,How Early CT Scans Created Detailed Body Images,EMI Ltd,1973,163,public domain,https://patentbrief.org/patent/us/3778614/ct-scanner-hounsfield
7669123,US,Displaying Friends' Activities in a Social Network Feed,Facebook Inc,2010,231,public domain,https://patentbrief.org/patent/us/7669123/facebook-news-feed-social-network
7653883,US,How Phones Sense Your Finger Hovering Without Touching the Screen,Apple Inc,2010,860,public domain,https://patentbrief.org/patent/us/7653883/multi-touch-trackpad-gestures
4200770,US,How to Create a Secret Code Key Without Meeting First,Leland Stanford Junior University,1980,708,public domain,https://patentbrief.org/patent/us/4200770/diffie-hellman-public-key-exchange
9548050,US,How a Digital Assistant Launches Apps Using Your Voice,Apple Inc,2017,211,active,https://patentbrief.org/patent/us/9548050/continuity-handoff
RE47218,US,How Medical Monitors Adapt Oxygen Alarms to Reduce False Alerts,Masimo Corp,2019,251,active,https://patentbrief.org/patent/us/RE47218/tysabri-dosing
5825352,US,Logitech's Method for Using Two Fingers on a Touchpad,Logitech Inc,1998,1577,public domain,https://patentbrief.org/patent/us/5825352/apple-pinch-to-zoom
4558302,US,How Computers Compress Data Using Dictionary Building,Sperry Corp,1985,347,public domain,https://patentbrief.org/patent/us/4558302/lzw-compression
7527791,US,How Engineered Antibodies Target TGF-beta Proteins to Fight Cancer,Genentech Inc,2009,756,public domain,https://patentbrief.org/patent/us/7527791/ipilimumab-yervoy
11204787,US,How Digital Assistants Control Apps and Ask for More Information,Apple Inc,2021,48,active,https://patentbrief.org/patent/us/11204787/github-copilot-code-generation-ai
